gender,marital_status,region,highest_education,school,employment_status,loan_purpose,repayment_status,repayment_info_source,repayment_method,repayment_method_convenience,effectiveness_repayment_method,collection_strategy_effectiveness,interaction_quality_on_repayment,overall_experience_with_loan_process,over_under_milion,discipline
male,married,southern,master,poly,fulltime,tuition_living_stationery,fully_paid,crbreport,oneoff,neutral,ineffective,effective,neutral,dissatisfied,under,commerce
female,single,central,master,poly,fulltime,tuition_living_stationery,fully_paid,employer,monthly_salary,convenient,ineffective,ineffective,neutral,dissatisfied,under,commerce
male,married,central,master,poly,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,commerce
female,married,southern,master,poly,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,commerce
male,married,central,bachelor,poly,fulltime,tuition_living_stationery,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,commerce
male,married,central,bachelor,poly,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,commerce
male,married,northern,doctorate,poly,fulltime,tuition_living_stationery,fully_paid,inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,commerce
male,married,southern,master,poly,fulltime,tuition_living_stationery,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,commerce
male,single,northern,bachelor,poly,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,over,commerce
male,widowed,northern,doctorate,poly,fulltime,tuition_living,fully_paid,inperson,monthly_salary,neutral,neutral,effective,positive,neutral,under,commerce
male,single,northern,bachelor,poly,fulltime,tuition_living,not_paid,email,none,inconvenient,ineffective,neutral,neutral,neutral,over,commerce
female,single,central,bachelor,luanar,fulltime,tuition_living,partially_paid,email_inperson,monthly_salary,convenient,effective,neutral,negative,neutral,under,commerce
female,single,central,bachelor,luanar,unemployed,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,commerce
male,single,northern,master,luanar,self_employed,tuition_living,partially_paid,inperson,voluntary_monthly,inconvenient,ineffective,ineffective,negative,dissatisfied,over,commerce
female,single,central,bachelor,luanar,fulltime,tuition_living,partially_paid,email,voluntary_monthly,neutral,neutral,neutral,neutral,neutral,over,commerce
female,married,southern,bachelor,chanco,fulltime,stationery,fully_paid,employer,monthly_salary,very_convenient,very_effective,effective,positive,neutral,under,humanities
female,single,northern,bachelor,mzuni,self_employed,tuition,not_paid,none,none,very_inconvenient,very ineffective,very ineffective,negative,dissatisfied,under,humanities
male,married,central,bachelor,chanco,fulltime,tuition_living,partially_paid,email,monthly_salary,neutral,neutral,neutral,neutral,neutral,under,humanities
male,married,northern,master,chanco,fulltime,tuition,fully_paid,inperson,monthly_salary,neutral,effective,effective,neutral,neutral,under,humanities
male,married,northern,doctorate,mzuni,fulltime,tuition_living,fully_paid,inperson,monthly_salary,convenient,effective,effective,positive,satisfied,over,humanities
male,single,central,bachelor,chanco,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,humanities
male,single,central,bachelor,chanco,parttime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,humanities
female,married,northern,master,mzuni,fulltime,tuition_living,fully_paid,inperson,monthly_salary,convenient,effective,effective,positive,satisfied,over,humanities
male,married,northern,doctorate,chanco,fulltime,tuition_living,fully_paid,inperson,monthly_salary,convenient,effective,effective,positive,very satisfied,under,humanities
male,single,central,bachelor,chanco,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,effective,neutral,neutral,over,humanities
female,married,central,doctorate,chanco,fulltime,tuition_living,fully_paid,inperson,monthly_salary,neutral,neutral,effective,neutral,neutral,over,humanities
male,single,central,bachelor,chanco,self_employed,tuition,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,humanities
female,divorced,southern,master,mzuni,parttime,tuition_living_stationery,partially_paid,inperson,voluntary_monthly,neutral,neutral,neutral,neutral,neutral,over,humanities
male,single,central,bachelor,chanco,self_employed,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,humanities
male,married,central,bachelor,chanco,parttime,living,partially_paid,inperson,voluntary_monthly,inconvenient,ineffective,neutral,neutral,neutral,under,humanities
male,married,northern,bachelor,mzuni,fulltime,tuition_living_stationery,partially_paid,email,monthly_salary,inconvenient,ineffective,neutral,neutral,neutral,over,humanities
male,divorced,northern,doctorate,chanco,fulltime,tuition_living,partially_paid,inperson,voluntary_monthly,inconvenient,ineffective,neutral,neutral,neutral,over,humanities
male,single,southern,bachelor,chanco,fulltime,tuition_living,partially_paid,inperson,monthly_salary,inconvenient,ineffective,neutral,neutral,neutral,over,humanities
male,single,central,bachelor,chanco,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,ineffective,neutral,neutral,over,humanities
male,married,central,master,chanco,fulltime,tuition,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,under,humanities
female,married,northern,bachelor,chanco,fulltime,tuition,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,under,humanities
male,married,northern,bachelor,chanco,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,humanities
female,married,southern,master,chanco,fulltime,tuition_living,partially_paid,inperson,monthly_salary,inconvenient,ineffective,neutral,neutral,neutral,over,humanities
male,single,central,bachelor,chanco,fulltime,tuition_living,not_paid,phone,none,inconvenient,ineffective,neutral,neutral,neutral,over,humanities
male,married,central,bachelor,chanco,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,under,humanities
