,age_range,gender,marital_status,region,highest_education,school,graduation,study_programme,employment_status,last_year_benefitted,total_loan,loan_purpose,repayment_status,repayment_info_source,repayment_method,repayment_method_convenience,effectiveness_repayment_method,collection_strategy_effectiveness,interaction_quality_on_repayment,alternative_collection_strategies,overall_experience_with_loan_process,reCoMmendations
0,38 to 48,Male,Married,Southern,Master,Poly,2004.0,Accountancy,Employed_fulltime,2004,"Less than MWK 200,000",Tuition_Living_Stationery,Fully_paid,CRBreport,oneoff,neutral,ineffective,effective,neutral,"Contact us via emails with CoMplete information like amount, interest rate being applied and due dates plus repayment options",Dissatisfied,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans, Reduce interest rates"
1,28 to 37,Female,Single,Central,Master,Poly,2014.0,Accountancy,Employed_fulltime,2014,"MWK 300,001 – MWK 500,000",Tuition_Living_Stationery,Fully_paid,Employer,monthly_salary,convenient,ineffective,ineffective,neutral,Tracking system and better communication ,Dissatisfied,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans"
2,28 to 37,Male,Married,Central,Master,Poly,2014.0,Accountancy,Employed_fulltime,2013,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Email_Phonecall,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Offer rewards for timely payments or early settlements ,Very satisfied,Provide more flexible repayment plans
3,28 to 37,Female,Married,Southern,Master,Poly,2012.0,Accountancy,Employed_fulltime,2011,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Identify and address potential issues before they CoMe major problems ,Very satisfied,"Improve communication and follow-up, Reduce interest rates"
4,28 to 37,Male,Married,Central,Bachelor,Poly,2016.0,Accountancy,Employed_fulltime,2015,"MWK 600,001 – MWK 1,000,000",Tuition_Living_Stationery,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Identify and address potential issues before they beCoMe major problems ,Very satisfied,"Improve communication and follow-up, Provide more flexible repayment plans"
5,28 to 37,Male,Married,Central,Bachelor,Poly,2016.0,Accountancy,Employed_fulltime,2015,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Automotive Reminders ,Very satisfied,"Improve communication and follow-up, Provide more flexible repayment plans"
6,Above 49,Male,Married,northern,Doctorate,Poly,2000.0,Accountancy,Employed_fulltime,1999,"MWK 600,001 – MWK 1,000,000",Tuition_Living_Stationery,Fully_paid,Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Conduct regular audits ,Very satisfied,"Improve communication and follow-up, Provide more flexible repayment plans"
7,28 to 37,Male,Married,Southern,Master,Poly,2016.0,Accountancy,Employed_fulltime,2015,"MWK 600,001 – MWK 1,000,000",Tuition_Living_Stationery,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Use of positive languages ,Very satisfied,"Provide more flexible repayment plans, Reduce interest rates"
8,21 to 27,Male,Single,northern,Bachelor,Poly,2015.0,Accountancy,Employed_fulltime,2014,"Above MWK1,000,000",Tuition_Living,Fully_paid,Email_Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Use positive languages,Very satisfied,"Simplify repayment methods, Provide more flexible repayment plans"
9,Above 49,Male,Widowed,northern,Doctorate,Poly,2001.0,Accountancy,Employed_fulltime,2000,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,neutral,neutral,effective,positive,Train staff on emotional intelligence,neutral,"Provide more flexible repayment plans, Reduce interest rates"
10,21 to 27,Male,Single,northern,Bachelor,Poly,2015.0,Accountancy,Employed_fulltime,2014,"Above MWK1,000,000",Tuition_Living,not_paid,Email,none,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,"Improve communication and follow-up, Provide more flexible repayment plans"
11,28 to 37,Female,Single,Central,Bachelor,Luanar,2013.0,Agribusiness_Management,Employed_fulltime,2012,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Partially_paid,Email_Inperson,monthly_salary,convenient,effective,neutral,negative,Improve communication tools,neutral,"Improve communication and follow-up, Simplify repayment methods"
12,21 to 27,Female,Single,Central,Bachelor,Luanar,2013.0,Agribusiness_Management,Unemployed,2012,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Improve tracking with universities and colleges,neutral,Reduce interest rates
13,28 to 37,Male,Single,northern,Master,Luanar,2013.0,Agricultural_Economics,Self_employed,2012,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,voluntary_monthly,inconvenient,ineffective,ineffective,negative,Automate system,Dissatisfied,"Improve communication and follow-up, Reduce interest rates"
14,21 to 27,Female,Single,Central,Bachelor,Luanar,2016.0,Agricultural_Economics,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living,Partially_paid,Email,voluntary_monthly,neutral,neutral,neutral,neutral,Work with borrowers to create personalized payment plans that fits there financial solutions,neutral,Simplify repayment methods
15,28 to 37,Female,Married,Southern,Bachelor,Chanco,2016.0,Arts_Humanities,Employed_fulltime,2012,"Less than MWK 200,000",Stationery,Fully_paid,Employer,monthly_salary,very_convenient,very_effective,effective,positive,Digital tracking system through Mno's,neutral,"Improve communication and follow-up, Simplify repayment methods"
16,28 to 37,Female,Single,northern,Bachelor,Mzuni,2013.0,Theology_and_Religious_Studies,Self_employed,2013,"MWK 300,001 – MWK 500,000",Tuition,not_paid,none,none,very_inconvenient,Very ineffective,Very ineffective,negative,Put clear and effective measures of loan collection ,Dissatisfied,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans, Reduce interest rates"
17,28 to 37,Male,Married,Central,Bachelor,Chanco,2008.0,Theology_and_Religious_Studies,Employed_fulltime,2017,"MWK 300,001 – MWK 500,000",Tuition_Living,Partially_paid,Email,monthly_salary,neutral,neutral,neutral,neutral,Regular follow ups ,neutral,"Simplify repayment methods, Reduce interest rates"
18,38 to 48,Male,Married,northern,Master,Chanco,2017.0,Theology_and_Religious_Studies,Employed_fulltime,2016,"MWK 300,001 – MWK 500,000",Tuition,Fully_paid,Inperson,monthly_salary,neutral,effective,effective,neutral,Regular follow ups the borrowers,neutral,"Improve communication and follow-up, Simplify repayment methods"
19,Above 49,Male,Married,northern,Doctorate,Mzuni,2001.0,Theology_and_Religious_Studies,Employed_fulltime,2000,"Above MWK1,000,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,convenient,effective,effective,positive,Technology integration,Satisfied,"Improve communication and follow-up, Simplify repayment methods"
20,28 to 37,Male,Single,Central,Bachelor,Chanco,2013.0,Theology_and_Religious_Studies,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,"Simplify repayment methods, Reduce interest rates"
21,28 to 37,Male,Single,Central,Bachelor,Chanco,2013.0,Theology_and_Religious_Studies,Employed_parttime,2012,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,"Improve communication and follow-up, Simplify repayment methods, Reduce interest rates"
22,38 to 48,Female,Married,northern,Master,Mzuni,2008.0,Theology_and_Religious_Studies,Employed_fulltime,2007,"Above MWK1,000,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,convenient,effective,effective,positive,Provide good communication strategies,Satisfied,"Simplify repayment methods, Provide more flexible repayment plans"
23,Above 49,Male,Married,northern,Doctorate,Chanco,2000.0,Theology_and_Religious_Studies,Employed_fulltime,1999,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,convenient,effective,effective,positive,Automate the system,Very satisfied,"Simplify repayment methods, Reduce interest rates"
24,28 to 37,Male,Single,Central,Bachelor,Chanco,2013.0,Theology_and_Religious_Studies,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,effective,neutral,Improve tracking with colleges,neutral,"Improve communication and follow-up, Reduce interest rates"
